Certainly! Below is a Python dictionary representing the temporal profile for the given global supply chain process. The dictionary includes a representative subset of activity pairs, considering both directly connected and eventually following activities. The average times and standard deviations are estimated based on typical durations for such activities in a high-tech electronics supply chain.

```python
temporal_profile = {
    ('SS', 'OP'): (172800, 86400),  # Average: 2 days, Std Dev: 1 day
    ('OP', 'RC'): (604800, 172800),  # Average: 7 days, Std Dev: 2 days
    ('RC', 'QI'): (86400, 3600),  # Average: 1 day, Std Dev: 1 hour
    ('QI', 'CA'): (86400, 3600),  # Average: 1 day, Std Dev: 1 hour
    ('CA', 'PT'): (86400, 3600),  # Average: 1 day, Std Dev: 1 hour
    ('PT', 'PK'): (43200, 3600),  # Average: 12 hours, Std Dev: 1 hour
    ('PK', 'WS'): (43200, 3600),  # Average: 12 hours, Std Dev: 1 hour
    ('WS', 'DT'): (86400, 3600),  # Average: 1 day, Std Dev: 1 hour
    ('DT', 'AS'): (2592000, 604800),  # Average: 30 days, Std Dev: 7 days
    ('SS', 'RC'): (777600, 172800),  # Average: 9 days, Std Dev: 2 days
    ('SS', 'QI'): (864000, 172800),  # Average: 10 days, Std Dev: 2 days
    ('SS', 'CA'): (950400, 172800),  # Average: 11 days, Std Dev: 2 days
    ('SS', 'PT'): (1036800, 172800),  # Average: 12 days, Std Dev: 2 days
    ('SS', 'PK'): (1123200, 172800),  # Average: 13 days, Std Dev: 2 days
    ('SS', 'WS'): (1209600, 172800),  # Average: 14 days, Std Dev: 2 days
    ('SS', 'DT'): (1296000, 172800),  # Average: 15 days, Std Dev: 2 days
    ('SS', 'AS'): (5184000, 604800),  # Average: 60 days, Std Dev: 7 days
    ('OP', 'QI'): (691200, 172800),  # Average: 8 days, Std Dev: 2 days
    ('OP', 'CA'): (777600, 172800),  # Average: 9 days, Std Dev: 2 days
    ('OP', 'PT'): (864000, 172800),  # Average: 10 days, Std Dev: 2 days
    ('OP', 'PK'): (950400, 172800),  # Average: 11 days, Std Dev: 2 days
    ('OP', 'WS'): (1036800, 172800),  # Average: 12 days, Std Dev: 2 days
    ('OP', 'DT'): (1123200, 172800),  # Average: 13 days, Std Dev: 2 days
    ('OP', 'AS'): (4320000, 604800),  # Average: 50 days, Std Dev: 7 days
    ('RC', 'CA'): (172800, 3600),  # Average: 2 days, Std Dev: 1 hour
    ('RC', 'PT'): (259200, 3600),  # Average: 3 days, Std Dev: 1 hour
    ('RC', 'PK'): (345600, 3600),  # Average: 4 days, Std Dev: 1 hour
    ('RC', 'WS'): (432000, 3600),  # Average: 5 days, Std Dev: 1 hour
    ('RC', 'DT'): (518400, 3600),  # Average: 6 days, Std Dev: 1 hour
    ('RC', 'AS'): (3456000, 604800),  # Average: 40 days, Std Dev: 7 days
    ('QI', 'PT'): (86400, 3600),  # Average: 1 day, Std Dev: 1 hour
    ('QI', 'PK'): (172800, 3600),  # Average: 2 days, Std Dev: 1 hour
    ('QI', 'WS'): (259200, 3600),  # Average: 3 days, Std Dev: 1 hour
    ('QI', 'DT'): (345600, 3600),  # Average: 4 days, Std Dev: 1 hour
    ('QI', 'AS'): (3312000, 604800),  # Average: 38 days, Std Dev: 7 days
    ('CA', 'PK'): (86400, 3600),  # Average: 1 day, Std Dev: 1 hour
    ('CA', 'WS'): (172800, 3600),  # Average: 2 days, Std Dev: 1 hour
    ('CA', 'DT'): (259200, 3600),  # Average: 3 days, Std Dev: 1 hour
    ('CA', 'AS'): (3225600, 604800),  # Average: 37 days, Std Dev: 7 days
    ('PT', 'WS'): (86400, 3600),  # Average: 1 day, Std Dev: 1 hour
    ('PT', 'DT'): (172800, 3600),  # Average: 2 days, Std Dev: 1 hour
    ('PT', 'AS'): (3139200, 604800),  # Average: 36 days, Std Dev: 7 days
    ('PK', 'DT'): (86400, 3600),  # Average: 1 day, Std Dev: 1 hour
    ('PK', 'AS'): (3048000, 604800),  # Average: 35 days, Std Dev: 7 days
    ('WS', 'AS'): (2952000, 604800),  # Average: 34 days, Std Dev: 7 days
}
```

This dictionary provides a comprehensive temporal profile for the global supply chain process, capturing the average times and standard deviations for various pairs of activities.
